,SoS Name,VEST Name,County
10,OS3 / UP,Mahaska County Precinct 9,Mahaska
0,Washington Township,Washington,Marion
1,Indiana Township,Indiana,Marion
2,Liberty,Liberty,Marion
3,Clay,Clay,Marion
4,Knoxville Four,Knoxville 4,Marion
5,Knoxville One,Knoxville 1,Marion
6,Dallas,Dallas,Marion
7,Knoxville Two,Knoxville 2,Marion
8,Pella Four,Pella 4,Marion
9,Knoxville Three,Knoxville 3,Marion
10,Otley,Otley,Marion
11,Lake Prairie Township,Lake Prairie,Marion
12,Pella One,Pella 1,Marion
13,Pella Two,Pella 2,Marion
14,Knoxville Township,Knoxville,Marion
15,Pella Three,Pella 3,Marion
16,Pleasantville,Pleasantville,Marion
0,Stockport,Stockport Precinct,Van Buren
1,Cantril,Cantril Precinct,Van Buren
2,Milton,Milton Precinct,Van Buren
3,Douds,Douds Precinct,Van Buren
4,Farmington,Farmington Precinct,Van Buren
5,Bonaparte,Bonaparte Precinct,Van Buren
6,Birmingham,Birmingham Precinct,Van Buren
7,Keosauqua,Keosauqua Precinct,Van Buren
0,SOUTHWEST,Southwest,Davis
1,BLOOMFIELD WARD 3,Bloomfield 3,Davis
2,BLOOMFIELD WARD 2,Bloomfield 2,Davis
3,BLOOMFIELD WARD 1,Bloomfield 1,Davis
4,SOUTHEAST,Southeast,Davis
5,NORTHWEST,Northwest,Davis
6,NORTHEAST,Northeast,Davis
7,CENTRAL,Central,Davis
0,Penn-Pleasant Plain,Penn,Jefferson
1,Locust Grove-Batavia,Locust Grove,Jefferson
2,Buchanan,Buchanan,Jefferson
3,Blackhawk-Polk-Packwood,Black Hawk-Polk,Jefferson
4,Liberty - Des Moines - Libertyville,Des Moines-Liberty,Jefferson
5,Lockridge-Round Prairie-Walnut-Lockridge-Coppock,Walnut,Jefferson
6,Fairfield 3rd Ward,Fairfield 3,Jefferson
7,Fairfield 5th Ward,Fairfield 5,Jefferson
8,Fairfield 4th Ward,Fairfield 4,Jefferson
9,Fairfield 2nd Ward,Fairfield 2,Jefferson
10,Center-Cedar-Maharishi Vedic City,Center-Cedar,Jefferson
11,Fairfield 1st Ward,Fairfield 1,Jefferson
0,HERITAGE CNTR-KE2,Keokuk 2,Lee
1,EVANGELICAL FREE CHURCH-KE4,Keokuk 4,Lee
2,FM CITY HALL-FM1,Fort Madison 1,Lee
3,KE COURTHOUSE-KE1,Keokuk 1,Lee
4,CONSERVATION CNTR - JF,Jefferson,Lee
5,FIRST CHRISTIAN CHURCH-KE6,Keokuk 6,Lee
6,KE LIBRARY-KE3,Keokuk 3,Lee
7,LEARNING CNTR-KE5,Keokuk 5,Lee
8,MCALEER HALL-FM2,Fort Madison 2,Lee
9,JACKSON TWP FIRE STATION-JK,Jackson,Lee
10,KE NAZARENE CHURCH-KE7,Keokuk 7,Lee
11,FM LIBRARY-FM3,Fort Madison 3,Lee
12,CENTRAL LEE HIGH SCHOOL,Charleston/DSM/Van Buren,Lee
13,IVOR FOWLER COMM CENTER-MOR,Montrose,Lee
14,ROLING HALL-FM4,Fort Madison 4,Lee
15,HILLVIEW VILLAGE,Fort Madison 5,Lee
16,GRACE BIBLE CHURCH-GB,Green Bay/Washington,Lee
17,PILOT GROVE BANK COMM ROOM,Franklin/Cedar/Marion/Harrison,Lee
18,WEST POINT LIBRARY-PR,West Point/Pleasant Ridge/Denmark,Lee
0,Southwest Precinct,Henry 8/Southwest,Henry
1,Mt Pleasant Ward 2,Henry 5/Mount Pleasant 2,Henry
2,Mt Pleasant Ward 4,Henry 7/Mount Pleasant 4,Henry
3,Mt Pleasant Ward 1,Henry 4/Mount Pleasant 1,Henry
4,Northeast Precinct,Henry 2/Northeast,Henry
5,Mt Pleasant Ward 3,Henry 6/Mount Pleasant 3,Henry
6,Northwest Precinct,Henry 1/Northwest,Henry
7,Central Precinct,Henry 3/Central,Henry
8,Southeast Precinct,Henry 9/Southeast,Henry
0,WOODBURN PRECINCT,Woodburn,Clarke
1,OSCEOLA 2ND WARD PRECINCT,Osceola 2,Clarke
2,OSCEOLA 1ST WARD PRECINCT,Osceola 1,Clarke
3,MIDDLE PRECINCT,Middle,Clarke
4,MURRAY PRECINCT,Murray,Clarke
5,OSCEOLA 3RD WARD PRECINCT,Osceola 3,Clarke
6,NORTH EAST PRECINCT,Northeast,Clarke
0,DE/Decatur City,Decatur County Precinct 4,Decatur
1,GR/RL/Grand River,Decatur County Precinct 6,Decatur
2,GG/HP/WO/Garden Grove/LeRoy,Decatur County Precinct 5,Decatur
3,FR/LC/Van Wert/Weldon,Decatur County Precinct 7,Decatur
4,BU/HA/MO/NB/Davis City/Pleasanton,Decatur County Precinct 2,Decatur
5,CE/ED/Leon,Decatur County Precinct 3,Decatur
6,BL/FA/Lamoni,Decatur County Precinct 1,Decatur
0,L.C. Extension,Lucas-Extension Office Precinct,Lucas
1,"Russell Community Center-Cedar and Washington Townships, City of Russell",Lucas-Russell precinct,Lucas
2,Pin Oak Marsh,Lucas-Pin Oak Marsh precinct,Lucas
3,Lucas Community Center,Lucas-Lucas Precinct,Lucas
4,Williamson Community Center,Lucas-Williamson precinct,Lucas
5,Chariton City Hall,Chariton Precinct 1,Lucas
6,Chariton Community Center,Chariton Precinct 2,Lucas
0,Columbus Junction,Columbus Junction,Louisa
1,Morning Sun-Marshall,Morning Sun Marshall,Louisa
2,Grandview-Port Louisa,Grandview Port Louisa,Louisa
3,West Louisa,West Louisa,Louisa
4,Southeast Louisa,Southeast Louisa,Louisa
0,PCT PW,DesMoines14-Pleasant Grove/Washington,Des Moines
1,PCT Union,DesMoines15-Union Twnshp,Des Moines
2,Pct 6,Burlington 6,Des Moines
3,PCT HJ,DesMoines12-Huron/Jackson/Benton,Des Moines
4,PCT DM,DesMoines10-Danville twnshp and city,Des Moines
5,Pct 4,Burlington 4,Des Moines
6,Pct 3,Burlington 3,Des Moines
7,Pct 5,Burlington 5,Des Moines
8,Pct 2,Burlington 2,Des Moines
9,PCT FM,DesMoines11-Flint Rvr/Middltwn/Beavrdale,Des Moines
10,PCT WB,DesMoines16-West Burlington,Des Moines
11,Pct 7,Burlington 7,Des Moines
12,PCT MY,DesMoines13-YellowSpring/Franklin/Mediapolis,Des Moines
13,Pct 9,Burlington 9,Des Moines
14,Pct 1T,Burlington 1-T,Des Moines
15,Pct 8C,Burlington 8-C,Des Moines
0,LOW MOOR,Clinton-Low Moor,Clinton
1,LIBERTY TORONTO,Clinton-Liberty/Toronto,Clinton
2,EDEN CAMANCHE TWP,Clinton-CamancheEden,Clinton
3,CENTER TWP,Clinton-Center,Clinton
4,WATERFORD CHARLOTTE,Clinton-Waterford/Charlotte,Clinton
5,DEEP CREEK GOOSE LAKE,Clinton-DeepCreek/GooseLake,Clinton
6,SHARON LOST NATION,Clinton-Sharon/Lost Nation,Clinton
7,SPRING ROCK WHEATLAND,Clinton-Spring Rock/Wheatland,Clinton
8,WELTON WASHINGTON WELTON,Clinton-Washington/Welton/Welton,Clinton
9,ORANGE GRAND MOUND,Clinton-Orange/Ground Mound,Clinton
10,BLOOMFIELD BROOKFIELD DELMAR,BrookfieldBloomfieldDelmar,Clinton
11,OLIVE GRANT CALAMUS,Clinton-GrantOliveCalamus,Clinton
12,CLINTON 1-1,Clinton ward 1 precinct 1,Clinton
13,CLINTON 2-1,Clinton ward 2 precinct 1,Clinton
14,DEWITT TWP,Clinton-Dewitt,Clinton
15,ELK RIVER HAMPSHIRE ANDOVER,Clinton-HampshireElkRiverAndover,Clinton
16,CAMANCHE 2,Camanche 2,Clinton
17,CAMANCHE 1,Camanche 1,Clinton
18,CLINTON 1-2,Clinton ward 1 precinct 2,Clinton
19,DEWITT 1,DeWitt 1,Clinton
20,CLINTON 3-1,Clinton ward 3 precinct 1,Clinton
21,CLINTON 4-2,Clinton ward 4 precinct 2,Clinton
22,CLINTON 3-2,Clinton ward 3 precinct 2,Clinton
23,CLINTON 4-1,Clinton ward 4 precinct 1,Clinton
24,CLINTON 2-2,Clinton ward 2 precinct 2,Clinton
25,DEWITT 2,DeWitt 2,Clinton
0,Danville Hanlontown,Worth 2-3,Worth
1,Fertile,Worth 2-4,Worth
2,Bristol Silver Lake Joice,Worth 2-1,Worth
3,Brookfield Kensett,Worth 2-2,Worth
4,Barton Deer Creek Union Grafton,Worth 1-1,Worth
5,Lincoln Manly,Worth 1-2,Worth
6,Deer Creek Grove Hartland Northwood,Worth 3-1,Worth
0,New Haven Church,Mitchell 2,Mitchell
1,Stacyville Library,Mitchell 11,Mitchell
2,City of Osage-Ward 2,Osage 2,Mitchell
3,Carpenter Community Center,Mitchell 9,Mitchell
4,City of Osage-Ward 3,Osage 3,Mitchell
5,Osage Methodist Church,Mitchell 1,Mitchell
6,Riceville City Hall,Mitchell 3,Mitchell
7,City of Osage- Ward 4,Osage 4,Mitchell
8,City of Osage-Ward 1,Osage 1,Mitchell
9,Mitchell City Hall,Mitchell 4,Mitchell
10,South Square-St. Ansgar,Mitchell 10,Mitchell
0,PCT 11 - DETSUP5,Winneshiek 11,Winneshiek
1,PCT 1 - HE/HI/PL,Winneshiek 1,Winneshiek
2,PCT 10 - JA/SU/WA,Winneshiek 10,Winneshiek
3,PCT - 6 DEW5,Winneshiek 6,Winneshiek
4,PCT 8 - MI/BLM,Winneshiek 8,Winneshiek
5,PCT 4 - DEW2,Winneshiek 4,Winneshiek
6,PCT 7 - CA/SP,Winneshiek 7,Winneshiek
7,PCT 9 - BLF/BO/FR/LI/MA/OR,Winneshiek 9,Winneshiek
8,PCT 5 - CN/DEW4/DETSUP3,Winneshiek 5,Winneshiek
9,PCT 3 - DEW1/DETSUP2,Winneshiek 3,Winneshiek
10,PCT 2 - FR/GL/DEW3/DETSUP1,Winneshiek 2,Winneshiek
0,PCt 1 - WL/HV,Hanover-Waterloo,Allamakee
1,PCT - PO/FK,Frankling-Post,Allamakee
2,LT/PC/WV CITY,Waterville-Linton-Paint Creek,Allamakee
3,PCT 4 - PV City,Postville,Allamakee
4,PCT - 6 FV/TL/HF CITY,Harpers Ferry-Fairview-Taylor,Allamakee
5,PCT - 8 IA/UC/NA CITY,New Albin-Iowa-Union City,Allamakee
6,WAUKON WARD  2,Waukon 2,Allamakee
7,WAUKON WARD  3,Waukon 3,Allamakee
8,PCT 9 - WAUKON WARD 1,Waukon 1,Allamakee
9,PCT - 7 CN/LF//LS/LS City,Lansing-Center-Lafayette-Lansing,Allamakee
10,PCT 2 - FC/JF/LL/MK/UP,French Creek-Jefferson-Ludlow-Makee-Union P,Allamakee
0,BUENA VISTA,Buena Vista,Clayton
1,READ,Read,Clayton
2,MARION,Marion,Clayton
3,GRAND MEADOW,Grand Meadow,Clayton
4,LODOMILLO,Lodomillo,Clayton
5,COX CREEK-SPERRY,Cox Creek-Sperry,Clayton
6,FARMERSBURG-WAGNER,Farmersburg-Wagner,Clayton
7,ELK-MALLORY-VOLGA,Elk-Mallory-Volga,Clayton
8,CLAYTON-GARNAVILLO,Clayton-Garnavillo,Clayton
9,CASS,Cass,Clayton
10,MENDON,Mendon,Clayton
11,BOARDMAN-HIGHLAND,Boardman-Highland,Clayton
12,GIARD-LUANA-MONONA,Giard-Luana-Monona,Clayton
13,JEFFERSON-MILLVILLE,Jefferson-Millville,Clayton
0,SCOTT TWP.,Scott,Fayette
1,SMITHFIELD TWP.,Smithfield,Fayette
2,CENTER TWP.,Center,Fayette
3,"FAIRBANK, INC.",Fairbank,Fayette
4,UNION TWP.,Union,Fayette
5,ORAN TWP.,Oran,Fayette
6,EDEN TWP.,Eden,Fayette
7,ILLYRIA TWP.,Illyria,Fayette
8,AUBURN TWP.,Auburn,Fayette
9,DOVER TWP.,Dover,Fayette
10,JEFFERSON TWP.,Jefferson,Fayette
11,WEST UNION-WARD 2,West Union 2,Fayette
12,WEST UNION-WARD 3,West Union 3,Fayette
13,HARLAN TWP.,Harlan,Fayette
14,FAIRFIELD-PUTNAM TWP.,Fairfield-Putnam,Fayette
15,CLERMONT TWP.,Clermont,Fayette
16,WEST UNION-WARD 1,West Union 1,Fayette
17,BANKS-FREMONT TWP.,Banks-Fremont,Fayette
18,BETHEL-WINDSOR TWP.,Bethel-Windsor,Fayette
19,PLEASANT VALLEY TWP.,Pleasant Valley,Fayette
20,OELWEIN-WARD 2,Oelwin 2,Fayette
21,OELWEIN-WARD 3,Oelwin 3,Fayette
22,WESTFIELD TWP.,Westfield,Fayette
23,OELWEIN-WARD 1,Oelwin 1,Fayette
24,OELWEIN-WARD 4,Oelwin 4,Fayette
0,Bernard Fire Station,Prairie Creek - Dubuque precinct 44,Dubuque
1,St John's Parish House,Dubuque 17,Dubuque
2,Dyersville Social Center 37,Dyersville 2 - Dubuque precinct 37,Dubuque
3,Election Annex,Dubuque 16,Dubuque
4,Dyersville Social Center 38,Dyersville 3 - Dubuque 38,Dubuque
5,Sacred Heart Church,Dubuque 14,Dubuque
6,Farley Memorial Hall,Farley - Dubuque 40,Dubuque
7,Federal Building,Dubuque 18,Dubuque
8,Moose Lodge 355,Dubuque 13,Dubuque
9,Area Residential Care,Dubuque 3,Dubuque
10,Emmaus Bible College,Dubuque 8,Dubuque
11,Holy Trinity Church,Dubuque 15,Dubuque
12,Westminster Church Nine,Dubuque 9,Dubuque
13,Swiss Valley Nature Center,Table Mound West - Dubuque precinct 45,Dubuque
14,U.A.W. Local 94,Dubuque 11,Dubuque
15,Cascade City Hall,Cascade/White Water - Dubuque 33,Dubuque
16,Luxemburg City Hall,Concord/Liberty/New Wine - Dubuque 35,Dubuque
17,YMCA/YWCA,Dubuque 19,Dubuque
18,Beckman High School,Dyersville/Dodge - Dubuque precinct 39,Dubuque
19,Epworth Council Chambers,Iowa/Taylor - Dubuque precinct 41,Dubuque
20,Westminster Church Ten,Dubuque 10,Dubuque
21,Windsor Park,Dubuque 12,Dubuque
22,Summit Congregational Church,Dubuque 6,Dubuque
23,SS Peter and Paul School,Jefferson/Peru - Dubuque 42,Dubuque
24,Hope Evangelical Free Church,Dubuque North - precinct 36,Dubuque
25,Fogarty Hall Center,Dubuque 20,Dubuque
26,Arbor Oaks Bible Chapel,Dubuque 5,Dubuque
27,St. Peter Lutheran Church,Dubuque 7,Dubuque
28,Key West Fire Station,Mosalem/Table Mound E/Wshngtn - Dubuque 43,Dubuque
29,Asbury City,Asbury East - Dubuque precinct 31,Dubuque
30,Rockdale Methodist Church,Dubuque 1,Dubuque
31,Theisen's Home Center,Dubuque 2,Dubuque
32,Journey Church,Dubuque 4,Dubuque
33,The Meadows Golf,Asbury west/Center north - precinct 32,Dubuque
34,Peosta Community Center,Center South/Vernon - Dubuque 34,Dubuque
0,OX-OXFORD,Oxford,Jones
1,WY-WYOMING,Wyoming,Jones
2,GF-GREENFIELD,Greenfield,Jones
3,MN3-MONTICELLO 3,Monticello 3,Jones
4,MN1-MONTICELLO 1,Monticello 1,Jones
5,MN4-MONTICELLO 4,Monticello 4,Jones
6,MN2-MONTICELLO 2,Monticello 2,Jones
7,SGMC-SC GRV/MADISON/CLAY,Scotch Grove/Madison/Clay,Jones
8,RLWS-RICHLAND/WASHINGTON,Richland/Washington,Jones
9,ROHA-ROME/HALE,Rome/Hale,Jones
10,ANN-ANAMOSA NORTH/CASS,Anamosa North/Cass,Jones
11,FV-FAIRVIEW,Fairview,Jones
12,CGLW-CASTLE GRV/LOV/WAYNE,Castle Grove/Lovell/Wayne,Jones
13,ANS-ANAMOSA SOUTH/JACKSON,Anamosa South/Jackson,Jones
0,Pct 11 - Sabula City Hall,Jackson 11,Jackson
1,Pct 10 - Miles City Hall,Jackson 10,Jackson
2,Pct 5 - Baldwin Fire Station,Jackson 5,Jackson
3,Pct 8 - Springbrook City Hall,Jackson 8,Jackson
4,Pct 13 - Jackson County Fairgrounds,Jackson 13,Jackson
5,Pct 14 - Jackson County Fairgrounds,Jackson 14,Jackson
6,Pct 12 - Jackson County Fairgrounds,Jackson 12,Jackson
7,Pct 3 - LaMotte Recreation Center,Jackson 3,Jackson
8,Pct 2 - St Donatus Parish Center,Jackson 2,Jackson
9,Pct 4 - St Lawrence Community Hall,Jackson 4,Jackson
10,Pct 15 - Jackson County Fairgrounds,Jackson 15,Jackson
11,Pct 6 - Andrew City Hall,Jackson 6,Jackson
12,Pct 16 - Jackson County Fairgrounds,Jackson 16,Jackson
13,Pct 9 - Preston Community Hall,Jackson 9,Jackson
14,Pct 7 - Jackson County Fairgrounds,Jackson 7,Jackson
15,Pct 1 - Bellevue Community Center,Jackson 1,Jackson
0,City of Frederika/Frederika Twp/Leroy Twp,Bremer County Frederika Precinct,Bremer
1,Waverly Ward III,Bremer County Waverly Ward 3 Precinct,Bremer
2,City of Plainfield/Polk Twp/Douglas Twp,Bremer County Plainfield Precinct,Bremer
3,Lafayette Twp/Warren Twp,Bremer County Lafayette/ Warren Precinct,Bremer
4,City of Tripoli/Fremont Twp,Bremer County Tripoli Precinct,Bremer
5,City of Readlyn,Bremer County Readlyn Precinct,Bremer
6,City of Janesville/Jackson Twp,Bremer County Janesville Precinct,Bremer
7,Waverly Ward IV,Bremer County Waverly Ward 4 Precinct,Bremer
8,Waverly Ward II/ NE 1/4 Sec 36 Washington Twp,Bremer County Waverly Ward 2 Precinct,Bremer
9,Waverly Ward V/West Washington Twp,Bremer County Waverly Ward 5 Precinct,Bremer
10,City of Sumner/Dayton Twp/Sumner Twp,Bremer County Sumner Precinct,Bremer
11,Waverly Ward I/ East Washington Twp,Bremer County Waverly Ward 1,Bremer
12,City of Denver/Jefferson Twp,Bremer County Denver Precinct,Bremer
0,MIDDLEFIELD-NEWTON,Middlefield/Newton,Buchanan
1,BRANDON,Brandon,Buchanan
2,INDEPENDENCE 4TH WARD,Independence 4,Buchanan
3,HAZLETON,Hazleton,Buchanan
4,AURORA,Aurora,Buchanan
5,FAIRBANK,Fairbank,Buchanan
6,INDEPENDENCE 5TH WARD,Independence 5,Buchanan
7,ROWLEY,Rowley,Buchanan
8,INDEPENDENCE 2ND WARD,Independence 2,Buchanan
9,PERRY-WESTBURG,Perry/Westburg,Buchanan
10,QUASQUETION,Quasqueton,Buchanan
11,WINTHROP,Winthrop,Buchanan
12,INDEPENDENCE 3RD WARD,Independence 3,Buchanan
13,JESUP,Jesup,Buchanan
14,INDEPENDENCE 1ST WARD,Independence 1,Buchanan
0,LIBERTY / MINERVA,Liberty/Minerva,Marshall
1,BANGOR / LISCOMB,Bangor/Liscomb,Marshall
2,MARIETTA / WASHINGTON,Marietta/Washington,Marshall
3,JEFFERSON,Jefferson,Marshall
4,GREEN CASTLE,Green Castle,Marshall
5,PUBLIC LIBRARY 1-1,Marshalltown 1-1,Marshall
6,Timber Creek,Timber Creek,Marshall
7,TAYLOR,Taylor,Marshall
8,PUBLIC LIBRARY 1-2,Marshalltown 1-2,Marshall
9,MARION / VIENNA,Marion/Vienna,Marshall
10,Legrand and City,Le Grand,Marshall
11,EDEN / LOGAN,Eden/Logan,Marshall
12,STATE CENTER,State Center,Marshall
13,IVH MALLOY HALL 2-1,Marshalltown 2-1,Marshall
14,REDEEMER LUTHERAN CHURCH 4-1,Marshalltown 4-1,Marshall
15,REDEEMER LUTHERAN CHURCH 4-2,Marshalltown 4-2,Marshall
16,FISHER COMM.  CENTER 3-1,Marshalltown 3-1,Marshall
17,IVH MALLOY HALL 2-2,Marshalltown 2-2,Marshall
18,FISHER COMM. CENTER 3-2,Marshalltown 3-2,Marshall
0,S. OTTER CREEK,Tama 10 - South Otter Creek,Tama
1,GRANT,Tama 7 - Grant,Tama
2,LINCOLN,Tama 11 - Lincoln,Tama
3,YORK,Tama 15 - York,Tama
4,RICHLAND/SALT CREEK,Tama 12 - Richland/Salt Creek,Tama
5,HOWARD/TOLEDO,Tama 13 - Howard/Toledo,Tama
6,CARROLL/ONEIDA/N. OTTER C,Tama 3 - Carroll/Oneida/North Otter Creek,Tama
7,INDIAN SETTLEMENT,Tama 9 - Indian Settlement,Tama
8,CARLTON,Tama 2 - Carlton,Tama
9,HIGHLAND/INDIAN VILLAGE,Tama 8 - Highland/Indian Village,Tama
10,SPRING CREEK/W. CRYSTAL,Tama 6 - West Crystal/Spring Creek,Tama
11,TOLEDO CITY,Tama 14 - Toledo City,Tama
12,CLARK/GENESEO,Tama 4 - Clark/Geneseo,Tama
13,PERRY/BUCKINGHAM/E. CRYST,Tama 1 - Buckingham/Perry/East Crystal,Tama
14,COLUMBIA/TAMA,Tama 5 - Columbia/Tama,Tama
0,Belle Plaine 3,Belle Plaine 3,Benton
1,Belle Plaine 2,Belle Plaine 2,Benton
2,Belle Plaine 1,Belle Plaine 1,Benton
3,Kane - Keystone,Benton County Kane/ Keystone Precinct,Benton
4,Vinton 2,Vinton Precinct 2,Benton
5,Bruce - Cedar - Mt Auburn,Benton Cnty Bruce/ Cedar/ Mt. Auburn Pct,Benton
6,Homer - Monroe - Jackson - Garrison,Benton Cty Homer/ Monroe/ Jackson/ Garrison,Benton
7,Walford,Walford,Benton
8,Vinton 4,Vinton Precinct 4,Benton
9,Vinton 1,Vinton Precinct 1,Benton
10,Eldorado - Newhall,Benton County El Dorado/ Newhall Pct,Benton
11,Vinton 3,Vinton Precinct 3,Benton
12,Big Grove - Union - Van Horne,Benton Cnty Big Grove/ Union/ Van Horne Pct,Benton
13,Iowa - Leroy - Luzerne - Blairstown,Benton Cty Iowa/ Leroy/ Luzerne/ Blairstown,Benton
14,Florence - St Clair - Norway,Benton County Florence/ St. Clair/ Norway P,Benton
15,Eden - Harrison - Taylor,Benton County Eden/ Harrison/ Taylor Pct,Benton
16,Polk - Urbana,Benton County Polk/ Urbana Pct,Benton
17,Benton - Canton - Shellsburg,Benton Cty Benton/ Canton/ Shellsburg Prnct,Benton
18,Fremont - Atkins,Benton County Fremont/ Adkins Precinct,Benton
0,Colony,Delaware County Precinct 2,Delaware
1,Adams/Hazel Green,Delaware County Precinct 1,Delaware
2,Richland/Coffins Grove,Delaware County Precinct 11,Delaware
3,Delaware,Delaware County Precinct 3,Delaware
4,Delhi/Delaware Corp,Delaware County Precinct 4,Delaware
5,South Fork/Union,Delaware County Precinct 12,Delaware
6,Manchester Ward 1,Delaware County Precinct 6,Delaware
7,Honey Creek/Elk,Delaware County Precinct 5,Delaware
8,Manchester Ward 3,Delaware County Precinct 8,Delaware
9,Manchester Ward 2,Delaware County Precinct 7,Delaware
10,Milo/Prairie,Delaware County Precinct 9,Delaware
11,Oneida/N Fork/Bremen,Delaware County Precinct 10,Delaware
0,Cresco 1A,Cresco 1A,Howard
1,Jamestown/Oakdale,Riceville-Jamestown-Oakdale,Howard
2,Saratoga/Howard Center/Chester,Saratoga-Howard Center-Chester,Howard
3,New Oregon,New Oregon,Howard
4,Albion/Forest City,Albion-Forest City,Howard
5,Vernon Springs,Cresco 1b-Vernon Springs,Howard
6,Cresco 3,Cresco 3,Howard
7,Cresco 2,Cresco 2,Howard
8,Afton/Howard/Paris,Paris-Afton-Howard,Howard
0,Shenandoah Ward 1,Shenandoah 1,Page
1,Essex City Hall,Pierce,Page
2,Shenandoah Ward 2,Shenandoah 2,Page
3,Clarinda Ward 1,Clarinda 1,Page
4,Shenandoah Fire Station,Grant,Page
5,Shenandoah Ward 3,Shenandoah 3,Page
6,Page County Courthouse,East River,Page
7,Clarinda Ward 2,Clarinda 2,Page
0,Sherman Twp,Sherman,Story
1,Richland Twp,Richland,Story
2,Lafayette Twp,Lafayette,Story
3,Grant Twp,Grant,Story
4,Warren/McCallsburg,Warren,Story
5,Milford Twp,Milford,Story
6,Lincoln/Zearing,Lincoln,Story
7,Collins/Collins,Collins,Story
8,Nevada Twp,Nevada,Story
9,Palestine Twp,Palestine,Story
10,Washington/Kelley,Washington,Story
11,New Albany/Colo,New Albany,Story
12,Union/Cambridge,Union,Story
13,Nevada 2,Nevada 2,Story
14,Indian Creek/Maxwell,Indian Creek,Story
15,Nevada 1,Nevada 1,Story
16,Ames 4-2,Ames 4-2,Story
17,Nevada 4,Nevada 4,Story
18,Nevada 3/Grant 3,Nevada 3,Story
19,Ames 4-3,Ames 4-3,Story
20,Ames 3-2,Ames 3-2,Story
21,Slater/Sheldahl,Slater/Sheldahl,Story
22,Ames 3-3,Ames 3-3,Story
23,Howard/Roland,Howard,Story
24,Ames 4-1,Ames 4-1,Story
25,Ames 1-3/Grant 2,Ames 1-3,Story
26,Ames 1-1,Ames 1-1,Story
27,Ames 2-2,Ames 2-2,Story
28,Ames 4-4,Ames 4-4,Story
29,Ames 3-5/Wash 3,Ames 3-5,Story
30,Ames 1-4,Ames 1-4,Story
31,Ames 1-2,Ames 1-2,Story
32,Ames 2-3,Ames 2-3,Story
33,Ames 3-4,Ames 3-4,Story
34,Ames 4-5,Ames 4-5,Story
35,Ames 2-1,Ames 2-1,Story
36,Story City,Story City,Story
37,Ames 1-5,Ames 1-5,Story
38,Ames 3-1/Wash 2,Ames 3-1,Story
39,Huxley,Huxley,Story
40,Ames 2-4,Ames 2-4,Story
41,Franklin/Gilbert,Franklin,Story
42,Ames 2-5,Ames 2-5,Story
0,HD,Hardin Township,Johnson
1,GR,Graham Township,Johnson
2,SN,Sharon Township,Johnson
3,CE,Cedar Township,Johnson
4,LB/PV,Liberty-Pleasant Valley,Johnson
5,UN,Union Township,Johnson
6,HS,Hills,Johnson
7,WS,Washington Township,Johnson
8,WL,West Lucas Township,Johnson
9,UH,University Heights,Johnson
10,OX,Oxford Township/Oxford,Johnson
11,CV03,Coralville 03,Johnson
12,SC/WB,Scott Twp-West Branch,Johnson
13,FR/LN/LT,Fremont-Lincoln,Johnson
14,IC19,Iowa City 19,Johnson
15,IC13,Iowa City 13,Johnson
16,IC15,Iowa City 15,Johnson
17,CV04,Coralville 04,Johnson
18,IC03,Iowa City 03,Johnson
19,NL04,North Liberty 04,Johnson
20,IC22,Iowa City 22,Johnson
21,NL05,North Liberty 05,Johnson
22,CV05,Coralville 05,Johnson
23,BG,Big Grove Township,Johnson
24,IC20,Iowa City 20,Johnson
25,IC10/ELSW,Iowa City 10/ELSW,Johnson
26,IC05,Iowa City 05,Johnson
27,NL02,North Liberty 02,Johnson
28,SO,Solon,Johnson
29,IC11,Iowa City 11,Johnson
30,IC14,Iowa City 14,Johnson
31,NL01,North Liberty 01,Johnson
32,SW/JW/MN,JW/MN/SW,Johnson
33,IC12/ELSE,Iowa City 12/East Lucas SE,Johnson
34,IC07,Iowa City 07,Johnson
35,IC09,Iowa City 09,Johnson
36,IC21,Iowa City 21,Johnson
37,CV01,Coralville 01,Johnson
38,NP,Newport Township,Johnson
39,JE/SH,Jefferson East/Shueyville,Johnson
40,CV07,Coralville 07,Johnson
41,IC04,Iowa City 04,Johnson
42,CV02,Coralville 02,Johnson
43,IC16,Iowa City 16,Johnson
44,IC02,Iowa City 02,Johnson
45,IC08,Iowa City 08,Johnson
46,IC06,Iowa City 06,Johnson
47,IC18,Iowa City 18,Johnson
48,NL03,North Liberty 03/PW,Johnson
49,CC/TF,Clear Creek/Tiffin,Johnson
50,IC17,Iowa City 17,Johnson
51,CV06,Coralville 06,Johnson
52,PN/ELN,Penn/East Lucas North,Johnson
53,IC23,Iowa City 23,Johnson
54,IC01,Iowa City 01,Johnson
55,NL06/MD/CCN,North Liberty 06/Madison/CCN,Johnson
56,IC24,Iowa City 24,Johnson
0,Hiawatha 04,Hiawatha 4,Linn
1,Boulder Township,Boulder,Linn
2,Buffalo Township,Buffalo,Linn
3,College Township,College,Linn
4,Spring Grove Township,Spring Grove,Linn
5,Clinton Township,Clinton,Linn
6,Linn Township,Linn,Linn
7,Cedar Rapids 44,Cedar Rapids 44,Linn
8,Hiawatha 03,Hiawatha 3,Linn
9,Grant Township,Grant,Linn
10,Cedar Rapids 22,Cedar Rapids 22,Linn
11,Fayette Township,Fayette,Linn
12,Jackson Township,Jackson,Linn
